Address,City/Town,State,ZIP Code,County/Parish,Latitude,Longitude
1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,31.21610655,-85.36308641535447
2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,34.1983281,-86.1649421
1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,34.80504285000001,-87.65081425058077
702 N MAIN ST,OPP,AL,36467,COVINGTON,31.2928787,-86.25490030241093
101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,31.6937493,-86.26470160380265
50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,33.595315299999996,-86.66763066940506
200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,34.4442547,-85.7196893
1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,33.2442813,-86.8163773
1720 UNIVERSITY BLVD STE 305,BIRMINGHAM,AL,35233,JEFFERSON,33.5206824,-86.8024326
1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,34.746119,-87.70076056923517
126 HOSPITAL AVE,OZARK,AL,36360,DALE,31.4511675,-85.6320623498164
400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,34.162022199999996,-85.65113600927694
2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,32.327953050000005,-86.27778199599958
1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,32.3665644,-86.28477423871117
2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,32.638159,-85.404239
619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,33.506101102040816,-86.80178236734695
805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,32.5339098,-85.9122466
1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,34.1335332,-86.8779268
849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,31.2958801,-86.49431123981623
101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,34.7204666,-86.58096414730319
1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,34.00778505,-85.9663095796017
1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,34.12608455,-87.9908673187085
1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,33.70823085,-87.82478450057539
600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,34.0128323,-86.0030251
400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,31.318424999999998,-85.85468880157622
509 WILSON AVENUE,EUTAW,AL,35462,GREENE,32.84287985,-87.8903392241773
201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,32.8187446,-85.74108716258237
4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,31.2374957,-85.45617079772055
810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,33.50866,-86.78637
208 PIERSON AVE,CENTREVILLE,AL,35042,BIBB,32.9513204,-87.14820513875142
202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,34.48331015,-87.28525250798585
380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,34.66148285,-86.04827417427157
1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,31.0489116,-85.89202133403035
3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,32.944012,-85.9538532
820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,31.88880275,-85.15637324074541
83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,CLAY,33.2737256,-85.8360741
400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,33.6553544,-85.823759725
700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,34.8045487,-86.9711698
1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,30.4065868,-87.6835974
1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,34.59085815,-86.97139352672316
1530 U S HIGHWAY 43,WINFIELD,AL,35594,FAYETTE,33.9281866,-87.8163017
2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,30.707918021880523,-88.10199184845631
3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,33.8312185,-87.2775053
6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,30.679321,-88.19853998167432
295 JACKSON HWY S,GROVE HILL,AL,36451,CLARKE,31.7087681,-87.7772218
809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,33.204164,-87.52753681434177
508 GREEN STREET,GREENSBORO,AL,36744,HALE,32.7045753,-87.5958396
500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,32.5526513,-86.18619537633549
1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,31.1267347,-87.07360549235025
750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,30.51903605,-87.88835174705152
604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,33.4404993,-86.09073711271273
317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,WILCOX,31.99745625,-87.30017061185626
701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,33.4970032,-86.8473565
3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,JEFFERSON,33.43373785,-86.71846059473762
124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,32.46450678611378,-86.45060771817504
102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,32.14623282498443,-85.71357450093427
105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,32.5178284,-87.8368201
5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,30.69599325,-88.07939325749618
995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,33.37426501303757,-86.99059650974252
1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,32.429399599999996,-87.05590344058078
2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460,MONROE,31.497939,-87.32065299202236
42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,WINSTON,34.226488,-87.6214133
1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,31.8087678,-85.969951
220 HOSPITAL DRIVE,JACKSON,AL,36545,CLARKE,31.5313272,-87.89506255989114
1815 HAND AVENUE,BAY MINETTE,AL,36507,BALDWIN,30.90380695,-87.78495512441062
7063 VETERANS PARKWAY,PELL CITY,AL,35125,ST. CLAIR,33.6044765,-86.30130519925143
ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,34.729847,-86.5859011
751 DERBY DRIVE,YORK,AL,36925,SUMTER,32.4919402,-88.29544296825202
1280 COLUMBIANA ROAD STE 102,VESTAVIA,AL,35216,JEFFERSON,33.4487989,-86.7879492
3719 DAUPHIN STREET,MOBILE,AL,36608,MOBILE,30.6847189,-88.13015691580881
101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,31.4334994,-86.9569176
400 TAYLOR ROAD,MONTGOMERY,AL,36117,MONTGOMERY,32.3763995,-86.17493
700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,33.50505,-86.80129
29 L V STABLER DRIVE,GREENVILLE,AL,36037,BUTLER,31.8295972,-86.6177517
201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,COLBERT,34.7436791,-87.6532615
15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,FRANKLIN,34.48484331525275,-87.7358415589045
315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,33.1651887,-86.25564905054785
4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,RUSSELL,32.507977249999996,-85.00878469067558
401 MEDICAL PARK DRIVE,ATMORE,AL,36502,ESCAMBIA,31.01701705,-87.47857661925876
2030 LAY DAM ROAD,CLANTON,AL,35045,CHILTON,32.870039201789474,-86.62176974210608
300 MED PARK DRIVE,THOMASVILLE,AL,36784,CLARKE,31.9134859,-87.7358367
4800 48TH STREET,VALLEY,AL,36854,CHAMBERS,32.8245339,-85.16893898021831
215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,32.3771735,-86.2434556
3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,33.2095614,-87.5675258
14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,WASHINGTON,31.458815350000002,-88.23550266412317
211 HOSPITAL ROAD,RED BAY,AL,35582,FRANKLIN,34.458249550000005,-88.14750505402968
